descricao,preco,modelo,marca,rating,url
"        Apple MacBook Air 13.3"", Chip M1, 8GB RAM, 256GB SSD - Space Gray       ","R$7.724,79",MGN63LL/A,Apple,"4,9 de 5 estrelas",https://www.amazon.com.br//Apple-MacBook-13-3-Chip-256GB/dp/B08N5LNQCX/ref=sr_1_1?qid=1639236160&s=computers&sr=1-1&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Lenovo IdeaPad 3i, Intel Core i3-10110U, 4GB RAM, 256 GB SSD, Windows 10, 15.6"", Prata       ","R$2.699,00",82BS0006BR,Lenovo,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Lenovo-IdeaPad-i3-10110U-Windows/dp/B094DM6SKF/ref=sr_1_2?qid=1639236160&s=computers&sr=1-2&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        MacBook Air (de 13 polegadas, Processador M1 da Apple com CPU 8‑core e GPU 7‑core, 8 GB RAM, 256 GB) - Prateado       ","R$7.699,00",,Apple,"4,8 de 5 estrelas",https://www.amazon.com.br//MacBook-Air-13-polegadas-Processador-Apple-GPU-7%E2%80%91core/dp/B08ZK75LX7/ref=sr_1_3?qid=1639236160&s=computers&sr=1-3&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Acer Nitro 5 AN515-55-51D3 Intel Core i5-10300H 8GB NVIDIA GeForce GTX1650 512GB SSD       ,"R$5.034,99",,ACER,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-AN515-55-51D3-i5-10300H-GeForce-GTX1650/dp/B09B2Q813Q/ref=sr_1_4?qid=1639236160&s=computers&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron i15-3501-A10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto       ","R$2.699,00",,Dell,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i15-3501-A10P-Gera%C3%A7%C3%A3o/dp/B09541793X/ref=sr_1_5?qid=1639236160&s=computers&sr=1-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        NOTEBOOK SAMSUNG NP550XDA-KV1BR 156 CINZA       ,"R$2.631,55",,SAMSUNG,"3,7 de 5 estrelas",https://www.amazon.com.br//NOTEBOOK-SAMSUNG-NP550XDA-KV1BR-156-CINZA/dp/B09427BLZP/ref=sr_1_6?qid=1639236160&s=computers&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Lenovo Ultrafino IdeaPad S145, AMD Ryzen 5, 8GB RAM, 1TB HD, Linux 15.6"", Prata       ","R$2.899,00",81V7S00100,Lenovo,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Lenovo-Ultrafino-ideapad-81V7S00100/dp/B0891ZH1FL/ref=sr_1_7?qid=1639236160&s=computers&sr=1-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Apple MacBook Pro 13"", Chip M1, 8GB RAM, 256GB SSD - Space Gray       ","R$9.974,00",MYD82LL/A,Apple,"4,9 de 5 estrelas",https://www.amazon.com.br//Apple-MacBook-Pro-Chip-256GB/dp/B08N5N6RSS/ref=sr_1_8?qid=1639236160&s=computers&sr=1-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron i15-3501-A50P 15.6"" HD 11ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GeForce Windows 10 Preto       ","R$4.799,00",,Dell,"4,5 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i15-3501-A50P-Gera%C3%A7%C3%A3o/dp/B09541LNTM/ref=sr_1_9?qid=1639236160&s=computers&sr=1-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg       ","R$2.799,00",,SAMSUNG,"3,8 de 5 estrelas",https://www.amazon.com.br//Samsung-BookIntel%C2%AE-i3-1115G4-Gera%C3%A7%C3%A3o-Windows/dp/B09446QHJ3/ref=sr_1_10?qid=1639236160&s=computers&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Lenovo 2 em 1 IdeaPad Flex 5i, Intel Core i5-1035G, 8GB RAM, 256GB SSD, Windows 10, 14"" Full HD WVA, Grafite       ","R$4.199,00",81WS0002BR,Lenovo,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Lenovo-ideapad-i5-1035G1-81WS0002BR/dp/B08HW1CCL4/ref=sr_1_11?qid=1639236160&s=computers&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Gamer Predator Helios 300 PH315-53-75N8 Intel Core i7 16GB 512GB SSD RTX 2060 15,6' Windows 10       ","R$9.999,00",PH315-53-75N8,Predator,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Predator-Helios-PH315-53-75N8-Windows/dp/B08ZDQB43R/ref=sr_1_12?qid=1639236160&s=computers&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Acer Aspire 5 A515-54-55L0 Core I5 –10210U 8GB Win10       ,"R$3.433,76",NX.AX0AL.002,ACER,"4,9 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-A515-54-55L0-10210U-Win10/dp/B09B1DS8DP/ref=sr_1_13?qid=1639236160&s=computers&sr=1-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
