descricao,preco,modelo,marca,rating,url
Notebook Samsung Book  NP550XDA-KF2BR Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Tela 15.6''  Windows 10 FHD - Cinza Chumbo,"R$ 3.562,49",NP550XDA-KF2BR,Samsung,4.3,https://www.americanas.com.br/produto/3081358898?pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata","R$ 3.324,99",IdeaPad 3i,Lenovo,4.4,https://www.americanas.com.br/produto/3171318128?pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata","R$ 2.925,61",Ideapad S145,Lenovo,4.1,https://www.americanas.com.br/produto/3383642632?pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto","R$ 3.077,05",i15-3501-A25P,Dell,4.3,https://www.americanas.com.br/produto/2969521205?pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR,"R$ 2.330,94",NP550XDA-KO1BR,Samsung,2.7,https://www.americanas.com.br/produto/3081358732?pfm_index=4&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata","R$ 3.609,99",IdeaPad 3i,Lenovo,4.5,https://www.americanas.com.br/produto/3171320172?pfm_index=5&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 8GB 256GB SSD W10 15,6"" Prata","R$ 3.134,99",ideapad S145,Lenovo,4.3,https://www.americanas.com.br/produto/3943373603?pfm_index=6&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Acer A515-54-53VN Intel Core I5 8GB 256GB SSD W10 15.6'' IPS FHD - Preto,"R$ 3.421,95",A515-54-53VN,Acer,4.6,https://www.americanas.com.br/produto/3735745003?pfm_index=7&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,"R$ 1.424,99",Motion Red,Positivo,2.7,https://www.americanas.com.br/produto/2831155071?pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza","R$ 1.619,10",3011933,COMPAQ,3.1,https://www.americanas.com.br/produto/3252219113?pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD 15.6'' Cinza Chumbo NP550XDA-KS1BR,"R$ 4.402,26",NP550XDA-XF1BR,Samsung,4.2,https://www.americanas.com.br/produto/3081358100?pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo 2 em 1 Duo C464C Intel Celeron 4GB 64GB W10 IPS Full HD 11.6""","R$ 1.690,22",DUO C464C,POSITIVO,3.5,https://www.americanas.com.br/produto/1885941991?pfm_index=11&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto","R$ 2.689,99",i15-3501-A10P,DELL,4.3,https://www.americanas.com.br/produto/3251385611?pfm_index=12&pfm_page=search&pfm_pos=grid&pfm_type=search_page
